,year,quarter,question_number,answer_number,question,answer,speaker_name,role,role_normalised,source_pdf
139,2025,Q2,6.0,2,"Hey, good morning, everyone. I wanted to start, Jeremy, going back to your comments on inorganic things being on the table in terms of use of excess capital. So when I look at the company, so you're the largest U.S. bank by assets, you're also the largest in terms of the data you see every day. And you may or may not have seen that Apple's looking at possibly, there’s chatter, getting into the AI game more by looking at a company such as a Perplexity. Just thinking out loud here, would it make sense for JPMorgan to consider acquiring an LLM, right? The last two quarters of buybacks are about the last valuation round for Perplexity, right. I'm thinking of you guys, you could become the LLM for the financial services industry. What are your thoughts on this? Hey, good morning, everyone. I wanted to start, Jeremy, going back to your comments on inorganic things being on the table in terms of use of excess capital. So when I look at the company, so you're the largest U.S. bank by assets, you're also the largest in terms of the data you see every day. And you may or may not have seen that Apple's looking at possibly, there’s chatter, getting into the AI game more by looking at a company such as a Perplexity. Just thinking out loud here, would it make sense for JPMorgan to consider acquiring an LLM, right? The last two quarters of buybacks are about the last valuation round for Perplexity, right. I'm thinking of you guys, you could become the LLM for the financial services industry. What are your thoughts on this?","We will use it, and we will obviously be important in using our data to help our customers.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
140,2025,Q2,6.0,3,"Hey, good morning, everyone. I wanted to start, Jeremy, going back to your comments on inorganic things being on the table in terms of use of excess capital. So when I look at the company, so you're the largest U.S. bank by assets, you're also the largest in terms of the data you see every day. And you may or may not have seen that Apple's looking at possibly, there’s chatter, getting into the AI game more by looking at a company such as a Perplexity. Just thinking out loud here, would it make sense for JPMorgan to consider acquiring an LLM, right? The last two quarters of buybacks are about the last valuation round for Perplexity, right. I'm thinking of you guys, you could become the LLM for the financial services industry. What are your thoughts on this? Hey, good morning, everyone. I wanted to start, Jeremy, going back to your comments on inorganic things being on the table in terms of use of excess capital. So when I look at the company, so you're the largest U.S. bank by assets, you're also the largest in terms of the data you see every day. And you may or may not have seen that Apple's looking at possibly, there’s chatter, getting into the AI game more by looking at a company such as a Perplexity. Just thinking out loud here, would it make sense for JPMorgan to consider acquiring an LLM, right? The last two quarters of buybacks are about the last valuation round for Perplexity, right. I'm thinking of you guys, you could become the LLM for the financial services industry. What are your thoughts on this?","Yeah. And on the question of inorganic deployment, I would sort of blend my comments with Jamie's, right? In the end, I'm just asserting that, of course, we need to look at inorganic opportunities; and of course, that's a question that comes up given our current excess capital position. But Jamie said clearly that he doesn't think that's particularly likely for some of the reasons that you emphasized, it's not easy to imagine a deal that would actually make sense.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
141,2025,Q2,6.0,4,"Hey, good morning, everyone. I wanted to start, Jeremy, going back to your comments on inorganic things being on the table in terms of use of excess capital. So when I look at the company, so you're the largest U.S. bank by assets, you're also the largest in terms of the data you see every day. And you may or may not have seen that Apple's looking at possibly, there’s chatter, getting into the AI game more by looking at a company such as a Perplexity. Just thinking out loud here, would it make sense for JPMorgan to consider acquiring an LLM, right? The last two quarters of buybacks are about the last valuation round for Perplexity, right. I'm thinking of you guys, you could become the LLM for the financial services industry. What are your thoughts on this? Hey, good morning, everyone. I wanted to start, Jeremy, going back to your comments on inorganic things being on the table in terms of use of excess capital. So when I look at the company, so you're the largest U.S. bank by assets, you're also the largest in terms of the data you see every day. And you may or may not have seen that Apple's looking at possibly, there’s chatter, getting into the AI game more by looking at a company such as a Perplexity. Just thinking out loud here, would it make sense for JPMorgan to consider acquiring an LLM, right? The last two quarters of buybacks are about the last valuation round for Perplexity, right. I'm thinking of you guys, you could become the LLM for the financial services industry. What are your thoughts on this?","We do a lot of small ones by the way, which you've seen.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
146,2025,Q2,7.0,1,"Yeah, yeah. Okay. And then going back, Jamie, to your answer to Betsy's question on the tokenized deposit. I get it how that makes sense in terms of the customers that are inside your walled garden, but it doesn't help them much in terms of dealing with customers outside of your garden. What's holding up you guys and the other banks getting together to issue something joint – similar somewhat to what you've done with Zelle, and prevent these stablecoin companies like Circle coming in offering a more convenient solution to your customers? Without an answer. Okay. Fair enough. Thanks for taking my questions. Operator: Thank you. Next, we will go to the line of Ebrahim Poonawala from Bank of America Merrill Lynch. You may proceed. Yeah, yeah. Okay. And then going back, Jamie, to your answer to Betsy's question on the tokenized deposit. I get it how that makes sense in terms of the customers that are inside your walled garden, but it doesn't help them much in terms of dealing with customers outside of your garden. What's holding up you guys and the other banks getting together to issue something joint – similar somewhat to what you've done with Zelle, and prevent these stablecoin companies like Circle coming in offering a more convenient solution to your customers? Without an answer. Okay. Fair enough. Thanks for taking my questions. Operator: Thank you. Next, we will go to the line of Ebrahim Poonawala from Bank of America Merrill Lynch. You may proceed.",That's a great question and we’ll leave it it remaining as a question.,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
147,2025,Q2,7.0,2,"Yeah, yeah. Okay. And then going back, Jamie, to your answer to Betsy's question on the tokenized deposit. I get it how that makes sense in terms of the customers that are inside your walled garden, but it doesn't help them much in terms of dealing with customers outside of your garden. What's holding up you guys and the other banks getting together to issue something joint – similar somewhat to what you've done with Zelle, and prevent these stablecoin companies like Circle coming in offering a more convenient solution to your customers? Without an answer. Okay. Fair enough. Thanks for taking my questions. Operator: Thank you. Next, we will go to the line of Ebrahim Poonawala from Bank of America Merrill Lynch. You may proceed. Yeah, yeah. Okay. And then going back, Jamie, to your answer to Betsy's question on the tokenized deposit. I get it how that makes sense in terms of the customers that are inside your walled garden, but it doesn't help them much in terms of dealing with customers outside of your garden. What's holding up you guys and the other banks getting together to issue something joint – similar somewhat to what you've done with Zelle, and prevent these stablecoin companies like Circle coming in offering a more convenient solution to your customers? Without an answer. Okay. Fair enough. Thanks for taking my questions. Operator: Thank you. Next, we will go to the line of Ebrahim Poonawala from Bank of America Merrill Lynch. You may proceed.","Well, Steven, you're raising a very important point about interoperability of stablecoins and deposits and movement of money and what problem you're trying to solve, but you're raising great points. You can assume we're thinking about all that.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
150,2025,Q2,8.0,1,"Good morning. This almost sounds like a fintech and AI call. But maybe just switching gears, I think, Jamie, your comments in the press release. Give us a sense like when we think about middle market businesses in the U.S., what's the state of play there when we think about interest rates, tariffs, consumer spending slowing? Should we be concerned in terms of credit quality outlook looking out 6, 9, 12 months? Just what's your take based on all the data that you all look at? Got it. And I guess just as a follow on... Go ahead, Jeremy. Yeah. Good morning. This almost sounds like a fintech and AI call. But maybe just switching gears, I think, Jamie, your comments in the press release. Give us a sense like when we think about middle market businesses in the U.S., what's the state of play there when we think about interest rates, tariffs, consumer spending slowing? Should we be concerned in terms of credit quality outlook looking out 6, 9, 12 months? Just what's your take based on all the data that you all look at? Got it. And I guess just as a follow on... Go ahead, Jeremy. Yeah.","You [Jeremy] can answer the thing about the data, but very important, we love the Middle Market business. It drives a lot of business we’ve built. I think 500 bankers in the Innovation Economy which is kind of new to us think of what Silicon Valley Bank used to do and things like that. We still have a huge addressable market in the Middle Market business. We provide not just lending, and that could be leverage lending, direct lending, but payment services, custody services, asset management services, FX services. So, we're going to grow that business regardless of what we predict the environment is going to be in the next six or nine months.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
151,2025,Q2,8.0,2,"Good morning. This almost sounds like a fintech and AI call. But maybe just switching gears, I think, Jamie, your comments in the press release. Give us a sense like when we think about middle market businesses in the U.S., what's the state of play there when we think about interest rates, tariffs, consumer spending slowing? Should we be concerned in terms of credit quality outlook looking out 6, 9, 12 months? Just what's your take based on all the data that you all look at? Got it. And I guess just as a follow on... Go ahead, Jeremy. Yeah. Good morning. This almost sounds like a fintech and AI call. But maybe just switching gears, I think, Jamie, your comments in the press release. Give us a sense like when we think about middle market businesses in the U.S., what's the state of play there when we think about interest rates, tariffs, consumer spending slowing? Should we be concerned in terms of credit quality outlook looking out 6, 9, 12 months? Just what's your take based on all the data that you all look at? Got it. And I guess just as a follow on... Go ahead, Jeremy. Yeah.","No, no. Go ahead. Ask your follow-up.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
154,2025,Q2,9.0,1,"And I was just wondering in terms of your sense of just the state of play, the health of the balance sheets of these customers and also if you can expand that into the consumer, any areas of stress from a credit quality perspective that you are beginning to get more concerned today versus three or six months ago?","Yeah, right. Okay, because that's what I was going to try to clarify. Just wasn't sure if you were doing consumer, wholesale, or both. So, let's do consumer quickly. I think we talk about this every quarter. It's obviously a very important question. We look at it very closely. It obviously matters a lot for us as a company. But we continue to struggle to see signs of weakness. We just – the consumer basically seems to be fine. Now, a few things are true like if you look at indicators of stress, not surprisingly, you see a little bit more stress in the lower income bands than you see in the higher income bands, but that's always true. That's pretty much definitionally true. And nothing there is out of line with our expectations. Our delinquency rates are also in line with expectations. You saw that we kept our net charge-off guidance unchanged. So, all of that looks kind of fine.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
155,2025,Q2,9.0,2,"And I was just wondering in terms of your sense of just the state of play, the health of the balance sheets of these customers and also if you can expand that into the consumer, any areas of stress from a credit quality perspective that you are beginning to get more concerned today versus three or six months ago?","And to be honest, as we've said before, fundamentally, while there are nuances around the edges, consumer credit is primarily about the labor market. And in a world with 4.1% unemployment rate, it's just going to be hard, especially in our portfolio, to see a lot of weakness. Now, it is true that if you look at not our data, but the government's data, I think I was looking at this the other day like, first half real consumer spending of this year versus second half of last year is down. Now, it's still positive, it's still growing, but it's down. So it's kind of consistent, this sort of soft landing narrative, which is also consistent with the sort of the GDP outlook that our economists are publishing. Our own data looked sort of in nominal terms on a cohort basis, actually shows spending up a little bit over the same period. So, it's kind of the same narrative of things being fine with different signals pointing in slightly different directions, but nothing particularly concerning.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
158,2025,Q2,10.0,1,"That was helpful, and would you say the same about commercial? Helpful. Thank you. That was helpful, and would you say the same about commercial? Helpful. Thank you.","I mean, basically, yes. You see some idiosyncratic things here and there. And on the point of tariffs, I guess, obviously you recall the slide that we did at Investor Day kind of highlighting that different sectors are going to have different experiences as a function of their margins, their sensitivity to input costs, their amount of pricing power, their amount of leverage, and where the rules actually land. But people are obviously getting some time to adjust, and we're watching it very closely. So, we'll see.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
159,2025,Q2,10.0,2,"That was helpful, and would you say the same about commercial? Helpful. Thank you. That was helpful, and would you say the same about commercial? Helpful. Thank you.",Thanks. Operator: Thank you. Thank you. Our next question comes from John McDonald with Truist Securities. Your line is open.,Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
162,2025,Q2,11.0,1,"Hi, good morning. Jeremy, quick follow-up on the consumer credit, broader comments taken there. But in terms of the NPAs, the non-accruals in consumers seem to have a bit of a jump. Is there something technical there? Maybe just talk to that. Hi, good morning. Jeremy, quick follow-up on the consumer credit, broader comments taken there. But in terms of the NPAs, the non-accruals in consumers seem to have a bit of a jump. Is there something technical there? Maybe just talk to that.","Yeah. Thanks for that, John. I'm glad to get a chance to clarify this. There is something technical which has to do with Home Lending customers in the LA area using our forbearance availability as a result of the wildfires. So, that is resulting in an uptick in the non-performing. But when you think about land value and the insurance there, the actual loss expectation is de minimis, I would say. So,...",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
163,2025,Q2,11.0,2,"Hi, good morning. Jeremy, quick follow-up on the consumer credit, broader comments taken there. But in terms of the NPAs, the non-accruals in consumers seem to have a bit of a jump. Is there something technical there? Maybe just talk to that. Hi, good morning. Jeremy, quick follow-up on the consumer credit, broader comments taken there. But in terms of the NPAs, the non-accruals in consumers seem to have a bit of a jump. Is there something technical there? Maybe just talk to that.",We always do that for customers when they have a real difficult time.,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
164,2025,Q2,11.0,3,"Hi, good morning. Jeremy, quick follow-up on the consumer credit, broader comments taken there. But in terms of the NPAs, the non-accruals in consumers seem to have a bit of a jump. Is there something technical there? Maybe just talk to that. Hi, good morning. Jeremy, quick follow-up on the consumer credit, broader comments taken there. But in terms of the NPAs, the non-accruals in consumers seem to have a bit of a jump. Is there something technical there? Maybe just talk to that.","Exactly. So, that's what's driving that one.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
168,2025,Q2,12.0,1,"Okay. Great. And I wanted to ask for some more color on retail deposits, maybe in the context of Marianne's presentation from Investor Day. Could you remind us of what's given you incremental confidence in seeing some improvement in deposit margin and kind of producing that mid- to upper-single digit deposit growth that Marianne talked about? Got it. Great. Thank you. Okay. Great. And I wanted to ask for some more color on retail deposits, maybe in the context of Marianne's presentation from Investor Day. Could you remind us of what's given you incremental confidence in seeing some improvement in deposit margin and kind of producing that mid- to upper-single digit deposit growth that Marianne talked about? Got it. Great. Thank you.","Yeah, sure. So, I think what you're referring to is a slide where Marianne talked about kind of the potential for 6% consumer deposit growth next year. And that's a nice number; and as you've written, that would produce some nice revenue consequences, all else being equal. The way I think about that number is to kind of build it up step-by-step. So, you start with, in general, the consumer deposit base in the system has grown probably slightly above nominal GDP. A thing that's been true for us recently is that as a result of our market position and our pricing choices, we've probably lost a little bit of share during the rate hiking cycle sort of in isolation from yield seeking flows. With the yield seeking flows having abated a little bit, that relative headwind is kind of behind us or increasingly behind us, and you've got some core growth reasserting itself. You saw us call out the growth in net new accounts in consumer checking this quarter, and that's one of the key drivers. And then, as you know well, when you look at the franchise, we kind of have: number one, ongoing expansion; number two, seasoning of the old expansion; and number three, deepening in the core markets. So when you put all that together and you look at sort of the history of the growth, macro environment, et cetera, that's how you get to that type of 6% number. And obviously, things could change quite dramatically to produce a different number, among other things. You'll recall that Marianne's slide also talked about a stress scenario with lower rates which, perhaps somewhat non-intuitively, would produce actually higher growth as a result of even less yield seeking flow and a higher consumer savings rate. But the flip side of that is also true which is, an unexpectedly high rate environment would probably lead to lower balance growth, all else equal, in Consumer. So, we like to say, those are all else being equal type numbers, but all else is never equal.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
169,2025,Q2,12.0,2,"Okay. Great. And I wanted to ask for some more color on retail deposits, maybe in the context of Marianne's presentation from Investor Day. Could you remind us of what's given you incremental confidence in seeing some improvement in deposit margin and kind of producing that mid- to upper-single digit deposit growth that Marianne talked about? Got it. Great. Thank you. Okay. Great. And I wanted to ask for some more color on retail deposits, maybe in the context of Marianne's presentation from Investor Day. Could you remind us of what's given you incremental confidence in seeing some improvement in deposit margin and kind of producing that mid- to upper-single digit deposit growth that Marianne talked about? Got it. Great. Thank you.","Thanks a lot, John. Operator: Thank you. Next, we will go to the line of Mike Mayo with Wells Fargo. Your line is open.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
172,2025,Q2,13.0,1,"Hi. Hey, Jeremy, can you talk about why commercial loan growth was much stronger in the second quarter and any strength by geography? And Jamie, can you address what regulators could do to potentially have banks lend more in the future, consistent with what the Treasury Secretary said is his goal? Thanks. Hi. Hey, Jeremy, can you talk about why commercial loan growth was much stronger in the second quarter and any strength by geography? And Jamie, can you address what regulators could do to potentially have banks lend more in the future, consistent with what the Treasury Secretary said is his goal? Thanks.","Yeah. Thanks, Mike. So on loan growth, as you know, it's useful to sort of break this down between what I would think of as like relationship lending that kind of drives the whole franchise and that we sometimes look at maybe as an indicator of the health of the corporate sector in some sense, and people like to look at it as a read across for smaller banks, et cetera. That part of the franchise remains fine, but sort of muted as customers have access to capital markets and revolver utilization is sort of flattish in general. But as I noted I think previously, and as you see coming through the IB fee performance, there was just quite a bit of deal activity in the second half of the quarter, a lot of which is well known and public, and some of that is on our balance sheet and we're very happy to have it there.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
173,2025,Q2,13.0,2,"Hi. Hey, Jeremy, can you talk about why commercial loan growth was much stronger in the second quarter and any strength by geography? And Jamie, can you address what regulators could do to potentially have banks lend more in the future, consistent with what the Treasury Secretary said is his goal? Thanks. Hi. Hey, Jeremy, can you talk about why commercial loan growth was much stronger in the second quarter and any strength by geography? And Jamie, can you address what regulators could do to potentially have banks lend more in the future, consistent with what the Treasury Secretary said is his goal? Thanks.","To answer your other question, Mike. So, some of the – I'm going to give you some things that you can actually do. So, I think you should do them and reduce risk in the system. I'm only going to talk about how they increase lending for a second. And so, G-SIFI inhibits, if you look at it, both a little bit of lending and a little bit of market making. LCR inhibits both because it's a very rigid way of looking at a bank’s balance sheet. It doesn't really give you credit for potential access to window and things like that. CCAR in some cases inhibit – people – we talk about ‘CCAR-ness,’ but there's a lot of ‘CCAR-ness’ from small business loans and stuff like that where people kind of hold that back a little bit because it creates too much volatility. And CCAR capital, the FSRT, the fundamental book. When you look at all these things, I think you can create more lending, more liquidity, more flexibility and reduce the risk in the system. And also just CET, just capital usage, et cetera. And the reducing the risk in the system, I think you also make it friendlier for community banks, which we do want to do. And so, if you look at like total loan to deposits, they used to be 100%, they’re now 70%. That's a huge difference. That took place over 10 or 15 years. And can you get that back to 85% and have the banking system be just safe and sound? Absolutely.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
176,2025,Q2,14.0,1,You didn't mention the cost to make a loan. Is there a potential for streamlining there? You didn't mention the cost to make a loan. Is there a potential for streamlining there?,"Yes, and I would put securitizations in that category. We need a more active securitization market and all these things could reduce the actual cost of making a loan. I pointed out in the past that mortgages probably cost 30 or 40 or 50 basis points more because of excessive securitization, origination and servicing requirements. Those could be changed and would dramatically help mortgages, particularly for low- income individuals. And we just have failed to do it for 10 years, and it wouldn't create any additional risk. And we can show you data that shows that.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
178,2025,Q2,15.0,1,"And last one, when you say inorganic growth, would you buy a private credit firm? Is that something you'd at least consider? And last one, when you say inorganic growth, would you buy a private credit firm? Is that something you'd at least consider?","I would say, it's not high on my list because we can do it ourselves and then you know buying people and comp plans. And I also think you may have seen peak private credit a little bit. I don't know that, but we already do it. So if it was the right people, the right price, the right – sure, we should look at it. I think, Mike, you should always be open minded when people come to you with something you hadn't thought about before. And you just get smarter by looking at these things.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
180,2025,Q2,16.0,1,"Actually I can’t leave on that comment. Peak private credit, I can't leave on those three words. What do you mean by peak private credit? Actually I can’t leave on that comment. Peak private credit, I can't leave on those three words. What do you mean by peak private credit?","I've mentioned that credit spreads are very low. It's grown dramatically over time. And you have to pay up a lot for it. I'm not saying, it's not going to grow some more, but I would have a slight reluctance depending on who it was. But your bankers might come to us with something tomorrow that we just hadn't thought about that is a complete natural fit for us; natural fit being product and people and culture.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
182,2025,Q2,17.0,1,"Sorry, Jeremy? All right. Thank you. Operator: Thank you. Next we will go to the line of Erika Najarian with UBS. You may proceed. Sorry, Jeremy? All right. Thank you. Operator: Thank you. Next we will go to the line of Erika Najarian with UBS. You may proceed.","No, I was literally going to say what Jamie just said. So, we're good.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
184,2025,Q2,18.0,1,"Hey, good morning. Jamie and Jeremy, you've talked about simplifying the regulatory construct. And it seems like based on the progress so far, we'll mostly get there, particularly with Basel III Endgame and G-SIB, which impacts you so much. And to that end, if we do get a more simplified regulatory construct that addresses both the capital and liquidity constraints, does that move up JPMorgan's natural ROTCE? You talked, 17% through-the-cycle a lot. Obviously, perhaps we would optimize the denominator. Why wouldn't that be additive to your natural ROTCE? Or does this get passed back on to your clients in terms of pricing? Hey, good morning. Jamie and Jeremy, you've talked about simplifying the regulatory construct. And it seems like based on the progress so far, we'll mostly get there, particularly with Basel III Endgame and G-SIB, which impacts you so much. And to that end, if we do get a more simplified regulatory construct that addresses both the capital and liquidity constraints, does that move up JPMorgan's natural ROTCE? You talked, 17% through-the-cycle a lot. Obviously, perhaps we would optimize the denominator. Why wouldn't that be additive to your natural ROTCE? Or does this get passed back on to your clients in terms of pricing?","In a competitive world, it is irrational to think that – and when it applies to all the competitors – that everybody's just going to make a lot more money, you keep it as opposed to compete in the marketplace. Hopefully, we'll still have a good competitive position relative to everybody else. But no, I don't think you should automatically say, it's going to increase your returns. Remember, Jeff Bezos says, “Your margin is my opportunity.” That would be a huge opportunity for fintech, private credit, alternative players, et cetera. So, you have to be a little careful to think that would happen. I think it's a good thing for the system though.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
185,2025,Q2,18.0,2,"Hey, good morning. Jamie and Jeremy, you've talked about simplifying the regulatory construct. And it seems like based on the progress so far, we'll mostly get there, particularly with Basel III Endgame and G-SIB, which impacts you so much. And to that end, if we do get a more simplified regulatory construct that addresses both the capital and liquidity constraints, does that move up JPMorgan's natural ROTCE? You talked, 17% through-the-cycle a lot. Obviously, perhaps we would optimize the denominator. Why wouldn't that be additive to your natural ROTCE? Or does this get passed back on to your clients in terms of pricing? Hey, good morning. Jamie and Jeremy, you've talked about simplifying the regulatory construct. And it seems like based on the progress so far, we'll mostly get there, particularly with Basel III Endgame and G-SIB, which impacts you so much. And to that end, if we do get a more simplified regulatory construct that addresses both the capital and liquidity constraints, does that move up JPMorgan's natural ROTCE? You talked, 17% through-the-cycle a lot. Obviously, perhaps we would optimize the denominator. Why wouldn't that be additive to your natural ROTCE? Or does this get passed back on to your clients in terms of pricing?","Yeah, exactly. And as we always say, Erika, right, like the market is very competitive and the returns are high. And you know this, but I would just refer you to the slide that I delivered at Investor Day about how, in some cases, it makes, all else equal, compared to buying back shares at these prices, doing healthy, well underwritten, compelling franchise business with a 14% return, we're definitely supposed to do that actually. And if we do a lot of that, it will dilute down the weighted-average ROTCE of the company in ways that are nonetheless clearly accretive to shareholders. So,...",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
186,2025,Q2,18.0,3,"Hey, good morning. Jamie and Jeremy, you've talked about simplifying the regulatory construct. And it seems like based on the progress so far, we'll mostly get there, particularly with Basel III Endgame and G-SIB, which impacts you so much. And to that end, if we do get a more simplified regulatory construct that addresses both the capital and liquidity constraints, does that move up JPMorgan's natural ROTCE? You talked, 17% through-the-cycle a lot. Obviously, perhaps we would optimize the denominator. Why wouldn't that be additive to your natural ROTCE? Or does this get passed back on to your clients in terms of pricing? Hey, good morning. Jamie and Jeremy, you've talked about simplifying the regulatory construct. And it seems like based on the progress so far, we'll mostly get there, particularly with Basel III Endgame and G-SIB, which impacts you so much. And to that end, if we do get a more simplified regulatory construct that addresses both the capital and liquidity constraints, does that move up JPMorgan's natural ROTCE? You talked, 17% through-the-cycle a lot. Obviously, perhaps we would optimize the denominator. Why wouldn't that be additive to your natural ROTCE? Or does this get passed back on to your clients in terms of pricing?","And Jeremy showed you a little thing about business units that earn high returns to low returns. And not that you shouldn’t do low return ones because they fit hand in glove with other stuff. If you didn't do it, you might lose the other. But there are some businesses out there with very high returns that we just grow. We deploy capital by adding bankers or branches or products, not directly by deploying capital. So, just think of branches. That does it or private banking or things like that.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
190,2025,Q2,19.0,1,"Yeah, for sure. And I think that's a big discussion point with investors in terms of talking about actually the EPS gains rather than just ROTCE improvement. And the second question I had is, you mentioned and clearly we saw it in the numbers, a late in the quarter pickup in activity levels. And I'm wondering as we think about sentiment and what this means for the second half, is it – did activity levels pick up because it felt like we were taking extreme outcomes from tariff policy off the table? Is it the tax bill certainty? I guess, I'm just wondering, has some of the issues that prevented activity levels or really stunted it in April and early May, have those fully been taken out of your clients' thinking as we think about the second half of the year and activity levels continuing from here? Thank you. Operator: Thank you. Next we will go to the line of Jim Mitchell with Seaport Global Securities. Your line is open. Yeah, for sure. And I think that's a big discussion point with investors in terms of talking about actually the EPS gains rather than just ROTCE improvement. And the second question I had is, you mentioned and clearly we saw it in the numbers, a late in the quarter pickup in activity levels. And I'm wondering as we think about sentiment and what this means for the second half, is it – did activity levels pick up because it felt like we were taking extreme outcomes from tariff policy off the table? Is it the tax bill certainty? I guess, I'm just wondering, has some of the issues that prevented activity levels or really stunted it in April and early May, have those fully been taken out of your clients' thinking as we think about the second half of the year and activity levels continuing from here? Thank you. Operator: Thank you. Next we will go to the line of Jim Mitchell with Seaport Global Securities. Your line is open.","Jeremy, you might want to say – I'll just answer your question by saying, honestly, we don't know. And you've seen how rapidly whole pipelines can grow and shrink. And so, that lesson we've learned over and over, and it may stay wide open for a year and a half. Something may happen geopolitically, then all of a sudden that pipeline slows a little bit. And so, I'm always a little cautious to guess what that's going to be. But if it continues this way, yeah, you're going have very active buckets.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
