,section,question_number,answer_number,speaker_name,role,company,content,year,quarter,is_pleasantry,source_pdf,role_normalised
317,qa,25.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I think if I heard the question correctly, you were asking...",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
318,qa,25.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,Are you offsetting tariff pressure with pressure on loans or deposits. The answer is no.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
319,qa,25.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"The answer is no, yeah.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
321,qa,25.0,4.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I wish we could say more about it, but we think the answer is no.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
322,qa,25.0,5.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"No, I mean there's always pressure in some of those...",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
323,qa,25.0,6.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"It's a competitive market, right? There is ongoing – deposits are very, very competitive, and there are always pricing conversations as there should be. It's hard to know in any given moment what's driving it, but I haven't heard anything to support a tariff linked narrative. Operator: Thank you. Next we will go to the line of Glenn Schorr with Evercore. Your line is open.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
324,qa,26.0,,Glenn Schorr,analyst,Evercore Group LLC,"Hi, thanks. Just two quick follow ups. On the conversation about the noticeably upbeat robust pipelines, I know we've been here before and markets can giveth and taketh away, but there is a time value in there, meaning corporates and more importantly sponsors need to get stuff done. There is a ton of dry powder. So I'm curious if there's a higher level of confidence, meaning if the market doesn't take from us, is it really happening this time? We've been kind of waiting for these pipelines to come through in fuller force for a couple of years now. Does it feel more doable as long as the market doesn't take the rug out from under us?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
325,qa,26.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"I think it separates sponsor-owned companies from IPOs. There are companies going public, they're in the pipeline, they want to go public, et cetera. Sponsors are still, at least from what I can tell anecdotally, still reluctant to use the public markets. There obviously maybe more of it, but it hasn't been a mountain of stuff coming out.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
326,qa,26.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. I think that's right in the IPO space at least for now. But I have heard some things to support some elements of your narrative Glenn, the effect of that – now, there is pressure to kind of recycle capital and get things done. And yeah, sure, after the initial shock of tariff policy changes, everyone kind of went on hold. But as we've noted in our comments a few times today, at a certain moment you just have to move on with life, and it does feel like some of that is happening just because you can't delay forever.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
327,qa,27.0,,Glenn Schorr,analyst,Evercore Group LLC,"I hear you. The follow-up on the capital conversation, obviously impressive to see big returns on even higher capital bases. But there's more to come, and I think trend is your friend on dereg. So the question is, you keep making a lot of money, your capital base keeps rising. You've talked about arresting the growth of CET1 in the past, but I guess my blunt question is, is there any valuation limitation towards that arresting of CET1?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
328,qa,27.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Okay. Wait, I want to say a couple of things, and then I want to clarify an aspect of your question, Glenn. So first, on arresting the growth, what I actually said, not to nitpick on you, but I said arresting the growth of excess capital which I agree is reasonable to interpret as keeping a roughly constant CET1. As it happened this quarter, you see the CET1 actually dropping about 40 basis points, and that was in no small part a function of significant late quarter growth in RWA usage which we were frankly like very happy to see, in fact. So, that's all to the good in some sense. Now the other part of your question, can you just repeat it? I want to make sure I understand it.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
329,qa,28.0,,Glenn Schorr,analyst,Evercore Group LLC,"I'm just curious if there's a valuation limitation to the thinking, meaning as valuation goes up, do you keep buying back stock?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
330,qa,28.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Meaning, would we go back to a moment of reducing buybacks and starting to build again if the stock gets even more expensive? I mean, I think that's the question for the boss, but I don't know, I guess, we always reserve the right to do whatever we want on buybacks basically.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
331,qa,28.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"We reserve the right. We're not going to tell you. But obviously, as stock price – I mean, don't like buying back the stock at almost three times tangible book. No one's going to convince me that's a brilliant thing to do, but it is wise to use our balance sheet for customers, which we're doing, and we can possibly do more. And it is probably wise to not increase the excess capital anymore since we have plenty and it's going be going up. Look, I'm completely convinced if you take out of your mindset 12 months, we will use the capital wisely for shareholders.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
332,qa,28.0,2.0,Glenn Schorr,analyst,Evercore Group LLC,You always do. All right. Thank you.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
334,qa,28.0,3.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"The best way is organic growth, which I wouldn't rule out that we can find more ways to grow clients basically. Operator: Thank you. Our next question comes from Gerard Cassidy with RBC Capital Markets. Your line is open.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
335,qa,29.0,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
336,qa,29.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Jeremy can answer this, but this will be an important point. The value to shareholders is that we can not just earn 17% ROTCE and that we can reinvest money at 17% ROTCE. That's the value. If you're just going to earn 17%, you’re a bond. You will trade three times tangible book, but that's it for the rest of your life. And so, the goal is to find opportunities to grow and expand your business, which we are doing. If you look at it, we are doing that with branches and bankers and internationally. And when you look at the midcap business we're doing in Europe, it's been great. Innovation Economy has been great. We're gaining shares in lot of places, Chase Wealth Management and the Private Bank, the International Private Bank, payment systems. We’re investing in all those things to grow our franchises and that's the best way to use your capital. And forget the timetable of that. That is the best way to use it.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
337,qa,29.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. And Gerard, I guess on your other question, it's an interesting question. I don't think the answer is really knowable, and I feel like it's kind of all of the above. Let me say what I mean. Like, on the one hand, I think if you look at the current market environment, it's hard to imagine a set of conditions that would be any better for us, right. Rates are at a good level for us, deal activity is high, capital markets are very strong, consumer credit is excellent, wholesale credit is excellent, wealth management, asset management, essentially every part of the company is firing. We're essentially firing on all cylinders, with some very minor exceptions of certain businesses that are extremely rate sensitive, like Home Lending, where they're still doing a great job in what is a very tough market. So when you see that, you're like, well, that's not normal. Normally, you would have some pockets doing a little better, some pockets doing a little worse; and that's part of what makes you think that some aspects of this are maybe not sustainable. On the other hand, it's also true that core elements of the strategy are working very well, and we've been investing for a long time very successfully and kind of leaning in even in moments where from the outside there wasn't that much appetite for us to be investing in all of the things that Jamie's talking about. Some of those investments in various ways are paying off. So...",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
338,qa,29.0,3.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"You have – all of our major bank competitors are back and growing and expanding. You have the fintech folks who are quite capable and quite smart who want to take big chunks of your business. Everything we do is kind of competitive around the world. So the notion that somehow we're not going deal with our competitors, which protects JPMorganChase, we don't get complacent, we don't get arrogant, we don't get bureaucratic. And we keep on finding that you got to have to fight for it every day. And so, we're quite cautious to just declare victory like somehow we're entitled to these returns forever. Also pointed out, if you could compound at 17%, actually I had Jeremy do his number one point, if you compounded 17% for 20 years, you probably would have a good chunk of the GDP of United States of America, for 40 years maybe.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
339,qa,29.0,4.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Yeah. I always have to go put new batteries in my HP 12C when you ask me that question. All right. Yeah.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
340,qa,29.0,4.0,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up...",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
341,qa,29.0,5.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"He just uses his big brain, he doesn't need the 12C.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
343,qa,29.0,6.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,It's not true because if – can we not do that?,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
344,qa,30.0,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Just as a quick follow-up Jeremy, in the Markets comment that you made, you said that there were fewer opportunities in Securitized Products and Fixed Income Financing. Can you expand upon that or give us any color there? Thank you.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
345,qa,30.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, sure. I mean, it's just normal diversification inside the Markets business. Those businesses are doing great. But like at the margin, in the second half of the quarter, stuff was a little quieter relative to emerging markets and the macro space, which was a little bit better.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
347,qa,30.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Nothing too dramatic.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
349,qa,31.0,,Saul Martinez,analyst,"HSBC Securities (USA), Inc.","Hey, good morning. Thanks for taking my question. Just one for me. I just want to follow-up on Ken's question about sales and trading. And I think you kind of addressed this, Jeremy, but I just – you’ve had another strong quarter there on the back of a pretty exceptional Q1 on the back of a really strong 2024. I mean, how are you thinking about how much of this really is the result of an exceptional trading environment versus something that's more durable and presumably less volatility, good for investment banking. But do you see – would you see some sort of normalization in sales and trading as a result? Or do you think there's still opportunities to grow certain businesses and take share? I'm just curious how much – how you think about what's exceptional versus what's more durable here.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
350,qa,31.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. I mean, one thing I'll say is that there's no weird exceptional thing happening in this particular quarter driving the results. So, it's pretty broad based, and it's not particularly lumpy. And as I said, I think it is true, and I think we've shared some of this in different ways, including in my slide at Investor Day, that we are deploying quite a bit of capital and other resources like G-SIB capacity and liquidity in some cases to generate that revenue. And we're happy with the returns, but it's not just like growing without any inputs, essentially. So, I guess, on the one hand you might say that that's a bit more durable for that reason, but it is important to realize that it's coming with that use of resources, essentially. So, I mean, we've gotten, over time, a little bit more relaxed about talking about the Markets business as something that has relatively uncorrelated and reasonably recurring revenues.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
351,qa,31.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"It's obviously extremely client centric, there's a lot of financing of various types that's being supplied, and it seems to, if anything, more often than not be counter-cyclical rather than pro-cyclical. But it's still Markets, right? Things can happen, it's volatile, there's risk taking involved, that's part of the point that we build. Sorry to hedge the answer, but that's kind of how we think about it.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
352,qa,31.0,2.0,Saul Martinez,analyst,"HSBC Securities (USA), Inc.","That's fine. Thanks a lot, guys. Operator: Thank you. Our final question comes from Chris Kotowski with Oppenheimer. Your line is open.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
353,qa,32.0,,Chris Kotowski,analyst,"Oppenheimer & Co., Inc.","Yeah. Good morning and thanks. Kind of an old school bank analyst question. After a long time of kind of bemoaning slow C&I loan growth, you had this extraordinary growth this quarter, $33 billion in average and more than 6% quarter-over-quarter. But then, when we look at the P&L in the Commercial & Investment bank, net interest income is down 2% and lending income is down 4%. And I know there's hedges and other complicated things, but it just kind of doesn't compute that you'd have such strong loan growth and not have revenue growth associated with that.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
354,qa,32.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. I mean, the hedges are definitely part of it, and a lot of the assets came on the balance sheet quite late in the quarter, so I don't know, I might be missing something. There's probably some Markets it. There's Markets NII piece of it too. So, I don't know, Mikael can follow-up with you, but I think the loans thing is part of it, Markets NII is part of it, and late quarter…",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
355,qa,32.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,Hedging,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
356,qa,32.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Hedges for sure. Yeah,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
358,qa,32.0,4.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks. Operator: Thank you. We have no further questions. Thanks very much. Jamie Dimon Chairman & Chief Executive Officer, JPMorganChase And thank you. Operator: Operator: Thank you. We have no further questions. Disclaimer This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties. Actual results may differ from those set forth in the forward-looking statements. Factors that could cause JPMorgan Chase & Co.’s actual results to differ materially from those described in the forward-looking statements can be found in JPMorgan Chase & Co.’s Annual Report on Form 10-K for the year ended December 31, 2024, which has been filed with the Securities and Exchange Commission and is available on JPMorgan Chase & Co.’s website (https://jpmorganchaseco.gcs-web.com/financial-information/sec-filings), and on the Securities and Exchange Commission’s website (www.sec.gov). JPMorgan Chase & Co. does not undertake to update any forward-looking statements",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
686,presentation,,,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thank you and good morning, everyone. Starting on page 1, the Firm reported net income of $14.6 billion, EPS of $5.07 on revenue of $46 billion, with an ROTCE of 21%. These results included a First Republic-related gain of $588 million, which was previously disclosed in the 10-K. On page 2, we have more on our first-quarter results. The Firm reported revenue of $46 billion, up $3.5 billion, or 8% year-on-year. NII ex. Markets was down $430 million, or 2%, driven by the impact of lower rates and deposit margin compression, as well as lower deposit balances in CCB. This was predominantly offset by higher Card revolving balances, the impact of securities activity, including from prior quarters, as well as higher wholesale deposits. NIR ex. Markets was up $2.2 billion, or 20%, and excluding the significant item I just mentioned, was up 14%, largely on higher asset management fees, lower net investment securities losses and higher investment banking fees. And Markets revenue was up $1.7 billion, or 21%. Expenses of $23.6 billion were up $840 million, or 4%, largely driven by compensation, including growth in employees across the front office and technology, higher brokerage and distribution fees, as well as marketing and legal expense. The quarter also reflected a $323 million release of the FDIC special assessment accrual compared with a $725 million increase in the prior quarter. Credit costs were $3.3 billion, with net charge-offs of $2.3 billion and a net reserve build of $973 million. We have more details on the reserve build on page 3. With this quarter's reserve build, the Firm’s total allowance for credit losses is $27.6 billion. Let's take a second to add a little bit of context to our thinking surrounding this number in light of the unique environment of the last several weeks. Our first quarter allowance is anchored on the relatively benign central case economic outlook, which was in effect at the end of the quarter. But, in light of the significantly elevated risks and uncertainties at the time, we increased the probability weightings associated with the downside scenarios in our CECL framework. As a result, the weighted-average unemployment rate embedded in our allowance is 5.8%, up from 5.5% last quarter, driving the $973 million increase in the allowance. So with that in mind, the consumer build of $441 million was driven by changes in the weighted-average macroeconomic outlook. The wholesale build of $549 million was predominantly driven by credit quality changes on certain exposures and net lending activity, as well as changes in the outlook. In addition, it's important to note that the increase in the allowance is not, to any meaningful degree, driven by deterioration in the actual credit performance in the portfolio, which remains largely in line with expectations. With that, let's go to the balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 15.4%, down 30 basis points versus the prior quarter as net income and OCI gains were more than offset by capital distributions and higher RWA. This quarter, the Firm distributed $11 billion of capital to shareholders, which reflects $7.1 billion of net common share repurchases and the payment of our common dividend, which has been increased to $1.40 per share. This quarter's higher RWA is primarily driven by overall business growth in Markets and some seasonal effects. Now let's go to our businesses, starting with CCB on page 5. Consumers and small businesses remain financially healthy. Despite the recent downtrends in consumer and small business sentiment, based on our data, spend, cash buffers, payment to income ratios, and credit utilization are all in line with our expectations. Moving to the financial results, CCB reported net income of $4.4 billion on revenue of $18.3 billion, which was up 4% year-on-year. In Banking & Wealth Management, revenue was down 1% year-on-year, driven by lower deposit NII, predominantly offset by growth in Wealth Management revenue. Average deposits were down 2% year-on-year and flat sequentially, while end of period deposits were up 2% quarter-on-quarter. Client investment assets were up 7% year-on-year, predominantly driven by market performance, and we continue to see strong flows into managed products. In Home Lending, revenue was up 2% year-on-year and originations were up 42% year-on-year, off a small base in a slowly growing market. Turning to Card Services & Auto, revenue was up 12% year-on-year, predominantly driven by Card NII on higher revolving balances as well as higher operating lease income in Auto. Card outstandings were up 10%, due to strong account acquisition. And in Auto, originations were $10.7 billion, up 20%, driven by higher lease volume. Expenses of $9.9 billion were up 6% year-on-year, predominantly driven by growth in marketing and technology, higher field compensation, as well as higher auto lease depreciation. Credit costs were $2.6 billion, reflecting net charge-offs of $2.2 billion, up $275 million year-on-year, predominantly driven by the seasoning of recent vintages in Card with delinquencies and losses in line with expectations. The net reserve build was $475 million, of which $400 million was in Card. Next, the Commercial & Investment Bank on page 6. CIB reported net income of $6.9 billion on revenue of $19.7 billion, which was up 12% year- on-year. IB fees were up 12% year-on-year, and we ranked number one with wallet share of 9%. In Advisory, fees were up 16%, benefiting from the closing of deals announced in 2024. Net underwriting fees were up 16%, primarily driven by elevated refinancing activity, particularly in Leveraged Finance. In Equity underwriting, fees were down 9% year-on-year, reflecting challenging market conditions. In light of market conditions, we are adopting a cautious stance on the Investment Banking outlook. While client engagement and dialog is quite elevated, both the conversion of the existing pipeline and origination of new activity will require a reduction in the current levels of uncertainty. Payments revenue was up 3% year-on-year excluding equity investments, driven by higher deposit balances and fee growth, predominantly offset by deposit margin compression. Lending revenue was up 11% year-on-year, driven by lower losses on hedges, partially offset by lower balances. Moving to Markets, total revenue was up 21% year-on-year, reflecting record performance in Equities. Fixed Income was up 8% with better performance in Rates and Commodities against a relatively weak prior-year quarter. Equities was up 48% as the business performed well during a period of elevated volatility, supported by higher client activity and strong monetization of flows, particularly in Derivatives. Securities Services revenue was up 7% year-on-year, driven by fee growth and higher deposit balances, partially offset by deposit margin compression. Expenses of $9.8 billion were up 13% year-on-year, predominantly driven by higher compensation, legal and brokerage expense. Average Banking & Payments loans were down 3% year-on-year and down 1% sequentially as we continued to observe payoff activity and limited demand for new loans across client segments. Average client deposits were up 11% year-on-year and up 2% sequentially, reflecting increased activity across Payments and Securities Services. Finally, credit costs were $705 million, largely driven by the net reserve build. Then to complete our lines of business, Asset & Wealth Management on page 7. AWM reported net income of $1.6 billion with pre-tax margin of 35%. Revenue of $5.7 billion was up 12% year-on-year, predominantly driven by growth in management fees on strong net inflows and higher average market levels, as well as higher brokerage activity and higher deposit balances. Expenses of $3.7 billion were up 7% year-on-year, largely driven by higher compensation, including revenue-related compensation and continued growth in our private banking advisor teams, as well as higher distribution fees. Long-term net inflows were $54 billion for the quarter, primarily driven by Equity and Fixed Income. In liquidity, we saw net inflows of $36 billion. AUM of $4.1 trillion and client assets of $6 trillion were both up 15% year-on-year, driven by continued net inflows and higher market levels. And finally, loans were up 5% year-on-year and flat quarter-on-quarter, and deposits were up 7% year-on-year and down 2% sequentially. Turning to Corporate on page 8. Corporate reported net income of $1.7 billion. Revenue of $2.3 billion was up $102 million year-on-year. NII of $1.7 billion was down $826 million year-on-year. NIR was a net gain of $653 million compared with a net loss of $275 million in the prior year. The current quarter included the significant item I mentioned upfront, while the prior-year quarter included net securities losses of $336 (sic) [$366] million. Expenses of $185 million were down $1.1 billion year-on-year, driven by the changes to the FDIC special assessment accruals I mentioned upfront. To finish up, let's turn to the full year outlook on page 9. We continue to expect NII ex. Markets to be approximately $90 billion. The Firmwide NII outlook has increased to about $94.5 billion, reflecting an increase in Markets NII, which you should think of as being primarily offset in NIR. Our adjusted expense outlook continues to be about $95 billion. And on credit, we expect the Card net charge-off rate to be in line with our previous guidance of approximately 3.6%. So to wrap up, we're pleased with another quarter of strong operating performance – but of course, the focus right now is on the future, which is obviously unusually uncertain. But no matter what outcomes eventually materialize, we are eager to do our part to continue to support our clients, the markets and the broader economy, and we believe the banking system will be a source of strength in this dynamic environment. And with that, let's open the line for Q&A.",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,banker
687,qa,1.0,,Ken Usdin,analyst,Autonomous Research,"Good morning, Jeremy. Wondering if you could start by just kind of amplifying just the macro commentary that you started off on. And given the uncertainty in the world that you referenced, just how are you seeing the activity change across the customer base from consumers to wholesale? And can you just talk through how that's also just informing any changes in your – some of your growth and reserving expectations? Thanks.",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,analyst
688,qa,1.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Sure, Ken. So I mean, at a high level, I would say that obviously, some of the salient news flow is quite recent. So, we've done some soundings and some checking both on the consumer side and on the wholesale side. I think on the consumer side, the thing to check is the spending data. And to be honest, the main thing that we see there, what would appear to be a certain amount of frontloading of spending ahead of people expecting price increases from tariffs. So ironically, that's actually somewhat supportive, all else equal. But I think what it sort of highlights is that during this transitional period and this elevated uncertainty, you might see some distortions in the data that make it hard to draw larger conclusions. In terms of our corporate clients, obviously, they've been reacting to the changes in tariff policy. And at the margin, that shifts their focus away from more strategic priorities with obvious implications for the Investment Banking pipeline outlook towards more short-term work, optimizing supply chains and trying to figure out how they're going to respond to the current environment. So as a result, I think we would characterize what we're hearing from our corporate clients as a little bit of a wait-and-see attitude. I do think you see obvious differences across sectors. Some sectors are going to be much more exposed than others and have more complicated problems to solve. And also across the size of the clients, I think smaller clients, small business and smaller corporates are probably a little bit more challenged. I think the larger corporates have a bit more experience dealing with these things and more resources to manage. So that's a little bit our read of the situation right now. But certainly, a bit of a wait-and-see attitude. It's hard to make long-term decisions right now, and so we'll see how that plays out.",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,banker
689,qa,2.0,,Ken Usdin,analyst,Autonomous Research,"Yeah. And just one question on the NII ex. Markets holding at $90 billion. Can you just walk us through the puts and takes of just what's the new curve you're using, which also is subject to change every day and what might have been some of the positive offsets to if you put in more expected cuts than you had before? Thanks.",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,analyst
690,qa,2.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, that's a good question, Ken. You're right. So if you remember, last quarter we said that we had one cut in the curve. I think latest curve has something like three cuts. And so, we've talked a lot, obviously, about how we are asset sensitive. You now see our EaR disclosed in the supplement, and probably our empirical EaR is a little bit higher than our modeled EaR as a result of the relatively low – lower than modeled rates paid in Consumer. So when you put that together, all else equal, the drop in the weighted-average IORB, which is about 22 basis points, should produce a notable headwind in our NII ex. Markets.",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,banker
691,qa,2.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,In the curve basically.,2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,banker
693,qa,2.0,3.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,This is guaranteed not to happen.,2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,banker
694,qa,2.0,4.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"So that's mechanically just flowing through the curve. So yeah, your question is that given that, why are you not revising down? And the answer to that is that across all the puts and takes actually, our number is a tiny bit lower. It's just not enough to warrant a change in the outlook. But we do have some offsets. So we have some balance effects that are favorable. You will have noted that I talked about higher wholesale deposit balances, for example. We see beta outperforming in a couple of different places in CDs and in wholesale. The other thing is that you'll recall, we talked before about having a placeholder in our NII outlook for the potential impact of the Card late fee rule. We've now removed that. So that's a little bit of an offset as well. So that's kind of how you get to unchanged, even though clearly, all else equal, the lower expected front-end rates are a headwind. Operator: Thank you. Our next question comes from Erika Najarian with UBS. You may proceed.",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,banker
695,qa,3.0,,Erika Najarian,analyst,UBS Securities LLC,"Yes. Good morning. This question is for Jamie. Jamie, you were on the media today talking about potential economic turbulence. But Jeremy also mentioned that banking should be – the banking system should be a source of strength in this turbulence. The equity market always seems to think about the banks as weaker players given how they trade the stocks more on sentiment and fear rather than the math of – the ability of banks to absorb provisions going forward, if we do fall into a slower economic downturn. So, I guess, just the question here is, can you double-click on how you think this is going to impact the economy going forward and maybe double-click on Jeremy's statement that the banking system should be a source of strength?",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,analyst
696,qa,3.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I just – before Jamie answers that, Erika, I just want to make one brief comment, which is the banking system being a source of strength means what it says. In other words, banks doing their job to support the economy. That's not a statement about bank equity performance and the extent to which banks are cyclical or not. Like obviously, a recessionary environment, as I've frequently said, all else equal, is bad for banks from an equity performance perspective. We're talking about the financial strength of banks' balance sheets and our ability to support our clients in a difficult moment.",2025,Q1,False,data/raw/jpm/jpm-1q25-earnings-call-transcript.pdf,banker
